District,Zone,Geographical Region,Development Region,Grade ,Boys/Girls ,Numbers
Palpa,Lumbini,Hill,Western,Grade 6-8,Boys,11091
Panchthar,Mechi,Hill,Eastern,Grade 6,Girls,3266
Panchthar,Mechi,Hill,Eastern,Grade 6,Boys,2924
Panchthar,Mechi,Hill,Eastern,Grade 7,Girls,3281
Panchthar,Mechi,Hill,Eastern,Grade 7,Boys,2807
Panchthar,Mechi,Hill,Eastern,Grade 8,Girls,3131
Panchthar,Mechi,Hill,Eastern,Grade 8,Boys,2516
Panchthar,Mechi,Hill,Eastern,Grade 6-8,Girls,9678
Panchthar,Mechi,Hill,Eastern,Grade 6-8,Boys,8247
Parbat,Dhawalagiri,Hill,Western,Grade 6,Girls,2006
Parbat,Dhawalagiri,Hill,Western,Grade 6,Boys,1889
Parbat,Dhawalagiri,Hill,Western,Grade 7,Girls,2140
Parbat,Dhawalagiri,Hill,Western,Grade 7,Boys,1986
Parbat,Dhawalagiri,Hill,Western,Grade 8,Girls,2043
Parbat,Dhawalagiri,Hill,Western,Grade 8,Boys,1955
Parbat,Dhawalagiri,Hill,Western,Grade 6-8,Girls,6189
Parbat,Dhawalagiri,Hill,Western,Grade 6-8,Boys,5830
Parsa,Narayani,Terai,Central,Grade 6,Girls,4471
Parsa,Narayani,Terai,Central,Grade 6,Boys,4670
Parsa,Narayani,Terai,Central,Grade 7,Girls,3743
Parsa,Narayani,Terai,Central,Grade 7,Boys,4031
Parsa,Narayani,Terai,Central,Grade 8,Girls,2819
Parsa,Narayani,Terai,Central,Grade 8,Boys,4212
Parsa,Narayani,Terai,Central,Grade 6-8,Girls,11033
Parsa,Narayani,Terai,Central,Grade 6-8,Boys,12913
Pyuthan,Rapti,Hill,Mid-Western,Grade 6,Girls,3773
Pyuthan,Rapti,Hill,Mid-Western,Grade 6,Boys,3349
Pyuthan,Rapti,Hill,Mid-Western,Grade 7,Girls,2842
Pyuthan,Rapti,Hill,Mid-Western,Grade 7,Boys,2508
Pyuthan,Rapti,Hill,Mid-Western,Grade 8,Girls,3127
Pyuthan,Rapti,Hill,Mid-Western,Grade 8,Boys,2388
Pyuthan,Rapti,Hill,Mid-Western,Grade 6-8,Girls,9742
Pyuthan,Rapti,Hill,Mid-Western,Grade 6-8,Boys,8245
Ramechhap,Janakpur,Hill,Central,Grade 6,Girls,3386
Ramechhap,Janakpur,Hill,Central,Grade 6,Boys,3169
Ramechhap,Janakpur,Hill,Central,Grade 7,Girls,3619
Ramechhap,Janakpur,Hill,Central,Grade 7,Boys,2970
Ramechhap,Janakpur,Hill,Central,Grade 8,Girls,3432
Ramechhap,Janakpur,Hill,Central,Grade 8,Boys,2982
Ramechhap,Janakpur,Hill,Central,Grade 6-8,Girls,10437
Ramechhap,Janakpur,Hill,Central,Grade 6-8,Boys,9121
Rasuwa,Bagmati,Mountain,Central,Grade 6,Girls,606
Rasuwa,Bagmati,Mountain,Central,Grade 6,Boys,577
Rasuwa,Bagmati,Mountain,Central,Grade 7,Girls,561
Rasuwa,Bagmati,Mountain,Central,Grade 7,Boys,530
Rasuwa,Bagmati,Mountain,Central,Grade 8,Girls,547
Rasuwa,Bagmati,Mountain,Central,Grade 8,Boys,496
Rasuwa,Bagmati,Mountain,Central,Grade 6-8,Girls,1714
Rasuwa,Bagmati,Mountain,Central,Grade 6-8,Boys,1603
Rautahat,Narayani,Terai,Central,Grade 6,Girls,4703
Rautahat,Narayani,Terai,Central,Grade 6,Boys,5554
Rautahat,Narayani,Terai,Central,Grade 7,Girls,4131
Rautahat,Narayani,Terai,Central,Grade 7,Boys,4886
