District,Zone,Geographical Region,Development Region,Grade ,Girls/Boys,Number
Myagdi,Dhawalagiri,Hill,Western,Grade 11-12,Boys,886
Nawalparasi,Lumbini,Terai,Western,Grade 11,Girls,2890
Nawalparasi,Lumbini,Terai,Western,Grade 11,Boys,3041
Nawalparasi,Lumbini,Terai,Western,Grade 12,Girls,2554
Nawalparasi,Lumbini,Terai,Western,Grade 12,Boys,2600
Nawalparasi,Lumbini,Terai,Western,Grade 11-12,Girls,5444
Nawalparasi,Lumbini,Terai,Western,Grade 11-12,Boys,5641
Nuwakot,Bagmati,Hill,Central,Grade 11,Girls,1133
Nuwakot,Bagmati,Hill,Central,Grade 11,Boys,789
Nuwakot,Bagmati,Hill,Central,Grade 12,Girls,1134
Nuwakot,Bagmati,Hill,Central,Grade 12,Boys,725
Nuwakot,Bagmati,Hill,Central,Grade 11-12,Girls,2267
Nuwakot,Bagmati,Hill,Central,Grade 11-12,Boys,1514
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade 11,Girls,661
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade 11,Boys,645
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade 12,Girls,540
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade 12,Boys,458
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade 11-12,Girls,1201
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade 11-12,Boys,1103
Palpa,Lumbini,Hill,Western,Grade 11,Girls,1432
Palpa,Lumbini,Hill,Western,Grade 11,Boys,1494
Palpa,Lumbini,Hill,Western,Grade 12,Girls,1737
Palpa,Lumbini,Hill,Western,Grade 12,Boys,1528
Palpa,Lumbini,Hill,Western,Grade 11-12,Girls,3169
Palpa,Lumbini,Hill,Western,Grade 11-12,Boys,3022
Panchthar,Mechi,Hill,Eastern,Grade 11,Girls,1051
Panchthar,Mechi,Hill,Eastern,Grade 11,Boys,695
Panchthar,Mechi,Hill,Eastern,Grade 12,Girls,1226
Panchthar,Mechi,Hill,Eastern,Grade 12,Boys,617
Panchthar,Mechi,Hill,Eastern,Grade 11-12,Girls,2277
Panchthar,Mechi,Hill,Eastern,Grade 11-12,Boys,1312
Parbat,Dhawalagiri,Hill,Western,Grade 11,Girls,1026
Parbat,Dhawalagiri,Hill,Western,Grade 11,Boys,888
Parbat,Dhawalagiri,Hill,Western,Grade 12,Girls,908
Parbat,Dhawalagiri,Hill,Western,Grade 12,Boys,671
Parbat,Dhawalagiri,Hill,Western,Grade 11-12,Girls,1934
Parbat,Dhawalagiri,Hill,Western,Grade 11-12,Boys,1559
Parsa,Narayani,Terai,Central,Grade 11,Girls,410
Parsa,Narayani,Terai,Central,Grade 11,Boys,440
Parsa,Narayani,Terai,Central,Grade 12,Girls,395
Parsa,Narayani,Terai,Central,Grade 12,Boys,451
Parsa,Narayani,Terai,Central,Grade 11-12,Girls,805
Parsa,Narayani,Terai,Central,Grade 11-12,Boys,891
Pyuthan,Rapti,Hill,Mid-Western,Grade 11,Girls,745
Pyuthan,Rapti,Hill,Mid-Western,Grade 11,Boys,651
Pyuthan,Rapti,Hill,Mid-Western,Grade 12,Girls,653
Pyuthan,Rapti,Hill,Mid-Western,Grade 12,Boys,538
Pyuthan,Rapti,Hill,Mid-Western,Grade 11-12,Girls,1398
Pyuthan,Rapti,Hill,Mid-Western,Grade 11-12,Boys,1189
Ramechhap,Janakpur,Hill,Central,Grade 11,Girls,1432
Ramechhap,Janakpur,Hill,Central,Grade 11,Boys,1204
Ramechhap,Janakpur,Hill,Central,Grade 12,Girls,1278
Ramechhap,Janakpur,Hill,Central,Grade 12,Boys,1133
Ramechhap,Janakpur,Hill,Central,Grade 11-12,Girls,2710
Ramechhap,Janakpur,Hill,Central,Grade 11-12,Boys,2337
Rasuwa,Bagmati,Mountain,Central,Grade 11,Girls,287
Rasuwa,Bagmati,Mountain,Central,Grade 11,Boys,249
Rasuwa,Bagmati,Mountain,Central,Grade 12,Girls,222
Rasuwa,Bagmati,Mountain,Central,Grade 12,Boys,205
Rasuwa,Bagmati,Mountain,Central,Grade 11-12,Girls,509
Rasuwa,Bagmati,Mountain,Central,Grade 11-12,Boys,454
Rautahat,Narayani,Terai,Central,Grade 11,Girls,2087
Rautahat,Narayani,Terai,Central,Grade 11,Boys,3148
Rautahat,Narayani,Terai,Central,Grade 12,Girls,1849
Rautahat,Narayani,Terai,Central,Grade 12,Boys,2984
Rautahat,Narayani,Terai,Central,Grade 11-12,Girls,3936
Rautahat,Narayani,Terai,Central,Grade 11-12,Boys,6132
Rolpa,Rapti,Hill,Mid-Western,Grade 11,Girls,470
Rolpa,Rapti,Hill,Mid-Western,Grade 11,Boys,447
Rolpa,Rapti,Hill,Mid-Western,Grade 12,Girls,480
Rolpa,Rapti,Hill,Mid-Western,Grade 12,Boys,381
Rolpa,Rapti,Hill,Mid-Western,Grade 11-12,Girls,950
Rolpa,Rapti,Hill,Mid-Western,Grade 11-12,Boys,828
Rukum,Rapti,Hill,Mid-Western,Grade 11,Girls,1053
Rukum,Rapti,Hill,Mid-Western,Grade 11,Boys,1158
Rukum,Rapti,Hill,Mid-Western,Grade 12,Girls,1300
Rukum,Rapti,Hill,Mid-Western,Grade 12,Boys,1342
Rukum,Rapti,Hill,Mid-Western,Grade 11-12,Girls,2353
Rukum,Rapti,Hill,Mid-Western,Grade 11-12,Boys,2500
Rupandehi,Lumbini,Terai,Western,Grade 11,Girls,2761
Rupandehi,Lumbini,Terai,Western,Grade 11,Boys,3185
Rupandehi,Lumbini,Terai,Western,Grade 12,Girls,2702
Rupandehi,Lumbini,Terai,Western,Grade 12,Boys,2728
Rupandehi,Lumbini,Terai,Western,Grade 11-12,Girls,5463
Rupandehi,Lumbini,Terai,Western,Grade 11-12,Boys,5913
Salyan,Rapti,Hill,Mid-Western,Grade 11,Girls,852
Salyan,Rapti,Hill,Mid-Western,Grade 11,Boys,940
Salyan,Rapti,Hill,Mid-Western,Grade 12,Girls,1199
Salyan,Rapti,Hill,Mid-Western,Grade 12,Boys,1329
Salyan,Rapti,Hill,Mid-Western,Grade 11-12,Girls,2051
Salyan,Rapti,Hill,Mid-Western,Grade 11-12,Boys,2269
Sankhuwasabha,Kosi,Mountain,Eastern,Grade 11,Girls,616
Sankhuwasabha,Kosi,Mountain,Eastern,Grade 11,Boys,545
Sankhuwasabha,Kosi,Mountain,Eastern,Grade 12,Girls,445
Sankhuwasabha,Kosi,Mountain,Eastern,Grade 12,Boys,357
Sankhuwasabha,Kosi,Mountain,Eastern,Grade 11-12,Girls,1061
Sankhuwasabha,Kosi,Mountain,Eastern,Grade 11-12,Boys,902
Saptari,Sagarmatha,Terai,Eastern,Grade 11,Girls,698
Saptari,Sagarmatha,Terai,Eastern,Grade 11,Boys,579
Saptari,Sagarmatha,Terai,Eastern,Grade 12,Girls,877
Saptari,Sagarmatha,Terai,Eastern,Grade 12,Boys,773
Saptari,Sagarmatha,Terai,Eastern,Grade 11-12,Girls,1575
Saptari,Sagarmatha,Terai,Eastern,Grade 11-12,Boys,1352
Sarlahi,Janakpur,Terai,Central,Grade 11,Girls,1103
Sarlahi,Janakpur,Terai,Central,Grade 11,Boys,1131
Sarlahi,Janakpur,Terai,Central,Grade 12,Girls,1574
Sarlahi,Janakpur,Terai,Central,Grade 12,Boys,1703
Sarlahi,Janakpur,Terai,Central,Grade 11-12,Girls,2677
Sarlahi,Janakpur,Terai,Central,Grade 11-12,Boys,2834
Sindhuli,Janakpur,Hill,Central,Grade 11,Girls,1843
Sindhuli,Janakpur,Hill,Central,Grade 11,Boys,1837
Sindhuli,Janakpur,Hill,Central,Grade 12,Girls,1853
Sindhuli,Janakpur,Hill,Central,Grade 12,Boys,1860
Sindhuli,Janakpur,Hill,Central,Grade 11-12,Girls,3696
Sindhuli,Janakpur,Hill,Central,Grade 11-12,Boys,3697
Sindhupalchok,Bagmati,Mountain,Central,Grade 11,Girls,1504
Sindhupalchok,Bagmati,Mountain,Central,Grade 11,Boys,1228
Sindhupalchok,Bagmati,Mountain,Central,Grade 12,Girls,1252
Sindhupalchok,Bagmati,Mountain,Central,Grade 12,Boys,1110
Sindhupalchok,Bagmati,Mountain,Central,Grade 11-12,Girls,2756
Sindhupalchok,Bagmati,Mountain,Central,Grade 11-12,Boys,2338
Siraha,Sagarmatha,Terai,Eastern,Grade 11,Girls,1475
Siraha,Sagarmatha,Terai,Eastern,Grade 11,Boys,1730
Siraha,Sagarmatha,Terai,Eastern,Grade 12,Girls,1669
Siraha,Sagarmatha,Terai,Eastern,Grade 12,Boys,1770
Siraha,Sagarmatha,Terai,Eastern,Grade 11-12,Girls,3144
Siraha,Sagarmatha,Terai,Eastern,Grade 11-12,Boys,3500
Solukhumbu,Sagarmatha,Mountain,Eastern,Grade 11,Girls,571
Solukhumbu,Sagarmatha,Mountain,Eastern,Grade 11,Boys,496
Solukhumbu,Sagarmatha,Mountain,Eastern,Grade 12,Girls,570
Solukhumbu,Sagarmatha,Mountain,Eastern,Grade 12,Boys,496
