District ,Zone,Geographical Region,Development Region,Level,Number of Student 
Sarlahi,Janakpur,Terai,Central,Grade(11-12),5511
Sindhuli,Janakpur,Hill,Central,Grade (1-5),65101
Sindhuli,Janakpur,Hill,Central,Grade(6-8),26157
Sindhuli,Janakpur,Hill,Central,Grade (9-10),11592
Sindhuli,Janakpur,Hill,Central,Grade(11-12),7393
Sindhupalchok,Bagmati,Mountain,Central,Grade (1-5),56910
Sindhupalchok,Bagmati,Mountain,Central,Grade(6-8),23815
Sindhupalchok,Bagmati,Mountain,Central,Grade (9-10),11744
Sindhupalchok,Bagmati,Mountain,Central,Grade(11-12),5094
Siraha,Sagarmatha,Terai,Eastern,Grade (1-5),101039
Siraha,Sagarmatha,Terai,Eastern,Grade(6-8),32450
Siraha,Sagarmatha,Terai,Eastern,Grade (9-10),15413
Siraha,Sagarmatha,Terai,Eastern,Grade(11-12),6644
Solukhumbu,Sagarmatha,Mountain,Eastern,Grade (1-5),30127
Solukhumbu,Sagarmatha,Mountain,Eastern,Grade(6-8),8798
Solukhumbu,Sagarmatha,Mountain,Eastern,Grade (9-10),3985
Solukhumbu,Sagarmatha,Mountain,Eastern,Grade(11-12),2133
Sunsari,Kosi,Terai,Eastern,Grade (1-5),113468
Sunsari,Kosi,Terai,Eastern,Grade(6-8),45621
Sunsari,Kosi,Terai,Eastern,Grade (9-10),24362
Sunsari,Kosi,Terai,Eastern,Grade(11-12),8358
Surkhet,Bheri,Hill,Mid-Western,Grade (1-5),74347
Surkhet,Bheri,Hill,Mid-Western,Grade(6-8),33144
Surkhet,Bheri,Hill,Mid-Western,Grade (9-10),13557
Surkhet,Bheri,Hill,Mid-Western,Grade(11-12),7629
Syangja,Gandaki,Hill,Western,Grade (1-5),43571
Syangja,Gandaki,Hill,Western,Grade(6-8),24458
Syangja,Gandaki,Hill,Western,Grade (9-10),14094
Syangja,Gandaki,Hill,Western,Grade(11-12),8715
Tanahu,Gandaki,Hill,Western,Grade (1-5),54087
Tanahu,Gandaki,Hill,Western,Grade(6-8),27744
Tanahu,Gandaki,Hill,Western,Grade (9-10),13345
Tanahu,Gandaki,Hill,Western,Grade(11-12),5920
Taplejung,Mechi,Mountain,Eastern,Grade (1-5),34317
Taplejung,Mechi,Mountain,Eastern,Grade(6-8),13077
Taplejung,Mechi,Mountain,Eastern,Grade (9-10),5589
Taplejung,Mechi,Mountain,Eastern,Grade(11-12),3037
Terhathum,Kosi,Hill,Eastern,Grade (1-5),18462
Terhathum,Kosi,Hill,Eastern,Grade(6-8),8710
Terhathum,Kosi,Hill,Eastern,Grade (9-10),4629
Terhathum,Kosi,Hill,Eastern,Grade(11-12),2380
Udayapur,Sagarmatha,Hill,Eastern,Grade (1-5),54790
Udayapur,Sagarmatha,Hill,Eastern,Grade(6-8),28982
Udayapur,Sagarmatha,Hill,Eastern,Grade (9-10),13908
Udayapur,Sagarmatha,Hill,Eastern,Grade(11-12),5109
